file_name,network,station,instrument_type,station_lat,station_lon,station_elv,p_arrival_time,p_probability,s_arrival_time,s_probability,start_dt,end_dt,source_file
JOF/HE.JOF..HHN__20250107T030732Z__20250107T030832Z.mseed,HE,JOF,0,0,0,0,2025-01-07 03:07:36.860000,0.166,,,2025-01-07 03:07:32.000000,2025-01-07 03:08:32.000000,eqcct_noise_th0_1/20250107T030732Z_20250107T030832Z/JOF_outputs/X_prediction_results.csv
OBF0/HE.OBF0..SHZ__20250107T054242Z__20250107T054342Z.mseed,HE,OBF0,0,0,0,0,,,2025-01-07 05:43:00.758000,0.167,2025-01-07 05:42:42.000000,2025-01-07 05:43:42.000000,eqcct_noise_th0_1/20250107T054242Z_20250107T054342Z/OBF0_outputs/X_prediction_results.csv
OUF/HE.OUF..HHN__20250107T084153Z__20250107T084253Z.mseed,HE,OUF,0,0,0,0,2025-01-07 08:41:57.010000,0.14,2025-01-07 08:42:11.450000,0.632,2025-01-07 08:41:53.000000,2025-01-07 08:42:53.000000,eqcct_noise_th0_1/20250107T084153Z_20250107T084253Z/OUF_outputs/X_prediction_results.csv
RAJF/FN.RAJF..HHN__20250107T134258Z__20250107T134358Z.mseed,FN,RAJF,0,0,0,0,2025-01-07 13:44:09.010000,0.134,,,2025-01-07 13:42:58.000000,2025-01-07 13:43:58.000000,eqcct_noise_th0_1/20250107T134258Z_20250107T134358Z/RAJF_outputs/X_prediction_results.csv
KEV/HE.KEV..HHN__20250107T155717Z__20250107T155817Z.mseed,HE,KEV,0,0,0,0,2025-01-07 15:58:27.510000,0.134,,,2025-01-07 15:57:17.000000,2025-01-07 15:58:17.000000,eqcct_noise_th0_1/20250107T155717Z_20250107T155817Z/KEV_outputs/X_prediction_results.csv
KPF/HE.KPF..HHN__20250107T192902Z__20250107T193002Z.mseed,HE,KPF,0,0,0,0,2025-01-07 19:30:13.688000,0.117,,,2025-01-07 19:29:02.000000,2025-01-07 19:30:02.000000,eqcct_noise_th0_1/20250107T192902Z_20250107T193002Z/KPF_outputs/X_prediction_results.csv
OBF0/HE.OBF0..SHZ__20250107T200728Z__20250107T200828Z.mseed,HE,OBF0,0,0,0,0,2025-01-07 20:07:32.976000,0.168,,,2025-01-07 20:07:28.000000,2025-01-07 20:08:28.000000,eqcct_noise_th0_1/20250107T200728Z_20250107T200828Z/OBF0_outputs/X_prediction_results.csv
TOF/HE.TOF..HHN__20250107T221931Z__20250107T222031Z.mseed,HE,TOF,0,0,0,0,2025-01-07 22:19:35.680000,0.173,,,2025-01-07 22:19:31.000000,2025-01-07 22:20:31.000000,eqcct_noise_th0_1/20250107T221931Z_20250107T222031Z/TOF_outputs/X_prediction_results.csv
KEV/HE.KEV..HHZ__20250108T014938Z__20250108T015038Z.mseed,HE,KEV,0,0,0,0,2025-01-08 01:50:49.070000,0.105,,,2025-01-08 01:49:38.000000,2025-01-08 01:50:38.000000,eqcct_noise_th0_1/20250108T014938Z_20250108T015038Z/KEV_outputs/X_prediction_results.csv
FIA1/HE.FIA1..HHN__20250108T034804Z__20250108T034904Z.mseed,HE,FIA1,0,0,0,0,2025-01-08 03:48:08.330000,0.17,,,2025-01-08 03:48:04.000000,2025-01-08 03:49:04.000000,eqcct_noise_th0_1/20250108T034804Z_20250108T034904Z/FIA1_outputs/X_prediction_results.csv
VUOS/HE.VUOS..HHE__20250108T075019Z__20250108T075119Z.mseed,HE,VUOS,0,0,0,0,2025-01-08 07:50:22.220000,0.686,2025-01-08 07:50:23.460000,0.661,2025-01-08 07:50:19.000000,2025-01-08 07:51:19.000000,eqcct_noise_th0_1/20250108T075019Z_20250108T075119Z/VUOS_outputs/X_prediction_results.csv
KU6/HE.KU6..HHE__20250108T102057Z__20250108T102157Z.mseed,HE,KU6,0,0,0,0,2025-01-08 10:21:01.370000,0.31,,,2025-01-08 10:20:57.000000,2025-01-08 10:21:57.000000,eqcct_noise_th0_1/20250108T102057Z_20250108T102157Z/KU6_outputs/X_prediction_results.csv
LAUT/HE.LAUT..HHN__20250108T102306Z__20250108T102406Z.mseed,HE,LAUT,0,0,0,0,2025-01-08 10:23:10.044000,0.116,,,2025-01-08 10:23:06.000000,2025-01-08 10:24:06.000000,eqcct_noise_th0_1/20250108T102306Z_20250108T102406Z/LAUT_outputs/X_prediction_results.csv
LAUT/HE.LAUT..HHZ__20250108T125253Z__20250108T125353Z.mseed,HE,LAUT,0,0,0,0,2025-01-08 12:52:58.828000,0.156,,,2025-01-08 12:52:53.000000,2025-01-08 12:53:53.000000,eqcct_noise_th0_1/20250108T125253Z_20250108T125353Z/LAUT_outputs/X_prediction_results.csv
KEV/HE.KEV..HHE__20250108T151338Z__20250108T151438Z.mseed,HE,KEV,0,0,0,0,2025-01-08 15:13:42.910000,0.121,,,2025-01-08 15:13:38.000000,2025-01-08 15:14:38.000000,eqcct_noise_th0_1/20250108T151338Z_20250108T151438Z/KEV_outputs/X_prediction_results.csv
RAJF/FN.RAJF..HHE__20250108T231820Z__20250108T231920Z.mseed,FN,RAJF,0,0,0,0,2025-01-08 23:18:24.110000,0.172,,,2025-01-08 23:18:20.000000,2025-01-08 23:19:20.000000,eqcct_noise_th0_1/20250108T231820Z_20250108T231920Z/RAJF_outputs/X_prediction_results.csv
KPF/HE.KPF..HHZ__20250109T003854Z__20250109T003954Z.mseed,HE,KPF,0,0,0,0,2025-01-09 00:40:05.032000,0.107,,,2025-01-09 00:38:54.000000,2025-01-09 00:39:54.000000,eqcct_noise_th0_1/20250109T003854Z_20250109T003954Z/KPF_outputs/X_prediction_results.csv
KEV/HE.KEV..HHE__20250109T004346Z__20250109T004446Z.mseed,HE,KEV,0,0,0,0,2025-01-09 00:43:50.940000,0.319,,,2025-01-09 00:43:46.000000,2025-01-09 00:44:46.000000,eqcct_noise_th0_1/20250109T004346Z_20250109T004446Z/KEV_outputs/X_prediction_results.csv
RAJF/FN.RAJF..HHE__20250109T020620Z__20250109T020720Z.mseed,FN,RAJF,0,0,0,0,2025-01-09 02:06:24.310000,0.165,,,2025-01-09 02:06:20.000000,2025-01-09 02:07:20.000000,eqcct_noise_th0_1/20250109T020620Z_20250109T020720Z/RAJF_outputs/X_prediction_results.csv
KIF/HE.KIF..HHZ__20250109T023900Z__20250109T024000Z.mseed,HE,KIF,0,0,0,0,2025-01-09 02:39:04.970000,0.173,,,2025-01-09 02:39:00.000000,2025-01-09 02:40:00.000000,eqcct_noise_th0_1/20250109T023900Z_20250109T024000Z/KIF_outputs/X_prediction_results.csv
TOF/HE.TOF..HHZ__20250109T044106Z__20250109T044206Z.mseed,HE,TOF,0,0,0,0,2025-01-09 04:41:10.890000,0.132,,,2025-01-09 04:41:06.000000,2025-01-09 04:42:06.000000,eqcct_noise_th0_1/20250109T044106Z_20250109T044206Z/TOF_outputs/X_prediction_results.csv
KEF/HE.KEF..HHN__20250109T052821Z__20250109T052921Z.mseed,HE,KEF,0,0,0,0,2025-01-09 05:28:25.350000,0.134,,,2025-01-09 05:28:21.000000,2025-01-09 05:29:21.000000,eqcct_noise_th0_1/20250109T052821Z_20250109T052921Z/KEF_outputs/X_prediction_results.csv
KEF/HE.KEF..HHN__20250109T082554Z__20250109T082654Z.mseed,HE,KEF,0,0,0,0,2025-01-09 08:26:01.220000,0.541,,,2025-01-09 08:25:54.000000,2025-01-09 08:26:54.000000,eqcct_noise_th0_1/20250109T082554Z_20250109T082654Z/KEF_outputs/X_prediction_results.csv
