file_name,network,station,instrument_type,station_lat,station_lon,station_elv,p_arrival_time,p_probability,s_arrival_time,s_probability,start_dt,end_dt,source_file
KEV/HE.KEV..HHE__20250112T161052Z__20250112T161152Z.mseed,HE,KEV,0,0,0,0,2025-01-12 16:10:57.360000,0.847,2025-01-12 16:11:15.110000,0.331,2025-01-12 16:10:52.000000,2025-01-12 16:11:52.000000,eqcct_explosions_th0_1/20250112T161052Z_20250112T161152Z/KEV_outputs/X_prediction_results.csv
VRF/HE.VRF..HHZ__20250112T161058Z__20250112T161158Z.mseed,HE,VRF,0,0,0,0,2025-01-12 16:11:02.880000,0.908,2025-01-12 16:11:26.630000,0.495,2025-01-12 16:10:58.000000,2025-01-12 16:11:58.000000,eqcct_explosions_th0_1/20250112T161058Z_20250112T161158Z/VRF_outputs/X_prediction_results.csv
HEF/HE.HEF..HHZ__20250112T161116Z__20250112T161216Z.mseed,HE,HEF,0,0,0,0,2025-01-12 16:11:20.130000,0.413,,,2025-01-12 16:11:16.000000,2025-01-12 16:12:16.000000,eqcct_explosions_th0_1/20250112T161116Z_20250112T161216Z/HEF_outputs/X_prediction_results.csv
KU2/HE.KU2..SHE__20250112T161213Z__20250112T161313Z.mseed,HE,KU2,0,0,0,0,2025-01-12 16:12:18.170000,0.21,2025-01-12 16:12:24.030000,0.497,2025-01-12 16:12:13.000000,2025-01-12 16:13:13.000000,eqcct_explosions_th0_1/20250112T161213Z_20250112T161313Z/KU2_outputs/X_prediction_results.csv
HEF/HE.HEF..HHE__20250112T164708Z__20250112T164808Z.mseed,HE,HEF,0,0,0,0,2025-01-12 16:47:13.780000,0.696,2025-01-12 16:47:24.790000,0.603,2025-01-12 16:47:08.000000,2025-01-12 16:48:08.000000,eqcct_explosions_th0_1/20250112T164708Z_20250112T164808Z/HEF_outputs/X_prediction_results.csv
KLF/FN.KLF..HHE__20250112T164710Z__20250112T164810Z.mseed,FN,KLF,0,0,0,0,2025-01-12 16:47:15.750000,0.783,2025-01-12 16:47:25.740000,0.319,2025-01-12 16:47:10.000000,2025-01-12 16:48:10.000000,eqcct_explosions_th0_1/20250112T164710Z_20250112T164810Z/KLF_outputs/X_prediction_results.csv
RAJF/FN.RAJF..BHE__20250112T164717Z__20250112T164817Z.mseed,FN,RAJF,0,0,0,0,2025-01-12 16:47:21.300000,0.847,2025-01-12 16:47:37.650000,0.174,2025-01-12 16:47:17.000000,2025-01-12 16:48:17.000000,eqcct_explosions_th0_1/20250112T164717Z_20250112T164817Z/RAJF_outputs/X_prediction_results.csv
VRF/HE.VRF..HHZ__20250112T164723Z__20250112T164823Z.mseed,HE,VRF,0,0,0,0,2025-01-12 16:47:27.920000,0.648,,,2025-01-12 16:47:23.000000,2025-01-12 16:48:23.000000,eqcct_explosions_th0_1/20250112T164723Z_20250112T164823Z/VRF_outputs/X_prediction_results.csv
KEV/HE.KEV..HHZ__20250112T164729Z__20250112T164829Z.mseed,HE,KEV,0,0,0,0,2025-01-12 16:47:33.460000,0.677,2025-01-12 16:47:58.450000,0.224,2025-01-12 16:47:29.000000,2025-01-12 16:48:29.000000,eqcct_explosions_th0_1/20250112T164729Z_20250112T164829Z/KEV_outputs/X_prediction_results.csv
RANF/FN.RANF..BHN__20250112T164730Z__20250112T164830Z.mseed,FN,RANF,0,0,0,0,2025-01-12 16:47:34.460000,0.46,2025-01-12 16:48:01.360000,0.124,2025-01-12 16:47:30.000000,2025-01-12 16:48:30.000000,eqcct_explosions_th0_1/20250112T164730Z_20250112T164830Z/RANF_outputs/X_prediction_results.csv
