TP,FP,FN,num_preds,num_picks,recall,precision,f1_score,TP_p,TP_s,FP_p,FP_s,FN_p,FN_s,num_preds_p,num_preds_s,num_picks_p,num_picks_s,recall_p,recall_s,precision_p,precision_s,f1_score_p,f1_score_s,network,station,num_rows,num_true_picks,num_predictions
35,6,121,41,156,0.22435897435897437,0.8536585365853658,0.3553299492385787,18,17,5,1,56,65,23,18,74,82,0.24324324324324326,0.2073170731707317,0.782608695652174,0.9444444444444444,0.3711340206185567,0.33999999999999997,HE,LOVF,24,156,41
19,0,69,19,88,0.2159090909090909,1.0,0.3551401869158879,9,10,0,0,36,33,9,10,45,43,0.2,0.23255813953488372,1.0,1.0,0.33333333333333337,0.37735849056603776,HE,RSUO,10,88,19
77,13,267,90,344,0.2238372093023256,0.8555555555555555,0.3548387096774193,42,35,5,8,137,130,47,43,179,165,0.2346368715083799,0.21212121212121213,0.8936170212765957,0.813953488372093,0.3716814159292035,0.33653846153846156,HE,PVF,51,344,90
92,21,314,113,406,0.22660098522167488,0.8141592920353983,0.3545279383429672,49,43,12,9,155,159,61,52,204,202,0.24019607843137256,0.21287128712871287,0.8032786885245902,0.8269230769230769,0.36981132075471695,0.33858267716535434,HE,FIA0,68,406,113
33,7,115,40,148,0.22297297297297297,0.825,0.35106382978723405,21,12,0,7,66,49,21,19,87,61,0.2413793103448276,0.19672131147540983,1.0,0.631578947368421,0.3888888888888889,0.3,HE,RMF,23,148,40
68,10,246,78,314,0.21656050955414013,0.8717948717948718,0.34693877551020413,36,32,7,3,114,132,43,35,150,164,0.24,0.1951219512195122,0.8372093023255814,0.9142857142857143,0.3730569948186529,0.32160804020100503,HE,SUF,49,314,78
56,5,208,61,264,0.21212121212121213,0.9180327868852459,0.34461538461538466,27,29,2,3,102,106,29,32,129,135,0.20930232558139536,0.21481481481481482,0.9310344827586207,0.90625,0.34177215189873417,0.3473053892215569,HE,LAUT,32,264,61
54,9,197,63,251,0.2151394422310757,0.8571428571428571,0.3439490445859873,27,27,2,7,87,110,29,34,114,137,0.23684210526315788,0.19708029197080293,0.9310344827586207,0.7941176470588235,0.3776223776223776,0.31578947368421056,HE,VJF,36,251,63
60,15,216,75,276,0.21739130434782608,0.8,0.34188034188034183,34,26,3,12,108,108,37,38,142,134,0.23943661971830985,0.19402985074626866,0.918918918918919,0.6842105263157895,0.37988826815642457,0.3023255813953488,HE,HEL5,38,276,75
27,5,102,32,129,0.20930232558139536,0.84375,0.33540372670807456,12,15,3,2,35,67,15,17,47,82,0.2553191489361702,0.18292682926829268,0.8,0.8823529411764706,0.3870967741935484,0.30303030303030304,UP,AAL,22,129,32
